x_tsne,y_tsne,label
-19.782978,-66.83295,4
41.669918,4.979746,1
45.92491,-77.9227,4
42.351917,2.2301288,1
37.281708,-38.643414,4
-63.51786,23.544193,4
-60.578053,-5.9291806,4
-81.15736,6.456796,4
-16.065533,54.752174,4
42.49944,2.7835972,1
41.357967,2.160608,1
36.57306,-1.5137763,1
41.290237,3.6220849,1
-71.66417,28.71573,4
41.764458,3.0538838,1
-23.990896,3.2583776,4
42.902805,64.81419,4
8.358073,23.80732,4
-12.860113,-34.75591,4
35.17802,4.263072,1
-5.739131,-73.93577,0
-19.40432,63.743282,4
-68.49333,1.6310664,4
35.49159,4.833533,1
35.25507,4.460526,1
42.950367,3.2556772,1
23.602121,-29.147732,4
-25.406872,45.074516,4
41.743996,4.7019973,3
-26.935331,-32.572304,4
-54.13676,-38.717495,4
-56.871624,-17.566574,4
31.305187,-45.8611,4
-18.299765,-21.516727,4
-6.0557337,48.56496,4
-28.547882,-27.320116,4
-70.11678,-13.402033,4
-36.69943,-2.1203532,4
-33.902054,-45.808926,4
-21.041365,-49.4763,4
-42.567554,-40.009136,4
-35.93415,-52.37538,4
18.830479,52.08605,4
42.2546,4.4263983,1
-62.126354,29.146538,4
-73.96454,53.76247,4
27.55693,-47.69897,4
44.665794,15.960711,1
42.46771,4.683906,1
50.195038,-73.85096,4
42.45367,3.2862868,3
-26.450062,-33.5276,4
64.59095,27.875885,1
19.573761,-49.922024,4
-61.431534,31.228523,4
-86.65538,16.641308,0
-8.014549,29.630342,4
-61.258636,-9.304308,4
2.932622,58.735558,4
-56.130077,8.366324,4
67.301186,25.878654,1
-31.646318,-38.22883,4
-0.01746426,35.872303,4
-44.203403,-49.769733,0
18.332777,0.19681883,1
28.06658,39.492817,4
-87.45612,22.583786,3
-15.9875765,38.946358,4
-34.804207,49.67839,4
53.824352,-42.82816,4
18.535685,-77.083244,0
14.299027,45.967903,4
-59.676544,-0.39716297,4
-34.77153,-59.80015,0
-17.2474,65.17776,4
-73.38732,33.62522,4
-54.64082,-17.561808,4
1.5737083,-70.80432,4
-70.024155,30.526894,4
-62.227703,-24.19888,4
-62.608765,-25.48718,4
10.617672,25.834475,4
71.07746,-9.325718,1
-24.76221,-0.85770047,4
-39.72547,71.081215,4
-19.11258,38.896843,4
-49.79372,35.288063,4
-50.971024,55.70989,4
-66.45393,-4.6463647,4
-63.630207,-29.64602,4
24.76926,-52.70522,4
18.315512,0.8116386,1
-76.89734,21.425076,4
-69.171486,45.141457,4
-54.149982,47.03932,4
18.332443,0.5482198,1
-30.562908,-31.766169,4
-34.995167,-59.709793,0
10.3863945,42.91287,4
-87.606926,22.146666,3
-13.162831,31.882608,4
-11.419224,76.774765,4
-10.298629,-27.88039,4
-72.78705,28.6555,4
81.47018,-8.361307,4
38.342888,8.371726,1
59.176403,5.725773,1
28.421759,39.068825,4
-8.880408,60.60975,4
-24.757957,16.780275,4
-11.306771,-27.589931,4
45.715164,-49.540474,4
-11.047474,37.971928,4
17.883446,1.9513502,1
18.186638,1.3055888,1
66.26726,3.8209422,1
-61.1948,25.144175,4
-11.312104,56.658604,4
-39.80071,-35.90246,4
-81.75519,4.37535,4
68.931076,-10.277633,1
70.87026,27.519146,1
14.361566,-24.89853,4
7.1619473,32.029076,4
-61.02236,24.806816,4
7.7842164,25.864758,4
-28.822742,-73.02967,3
25.915037,38.948658,4
23.359535,-67.788445,1
25.156397,2.174481,1
-80.43639,-3.3658311,4
18.319393,0.7496622,1
46.033558,-75.43791,4
16.77556,2.9941535,1
-25.60786,24.908913,4
-12.988429,-57.90283,4
-36.306725,-51.97089,4
27.725925,-47.439285,4
9.412148,70.136024,4
-18.675747,-42.583073,4
9.415683,70.14001,4
-81.32185,29.162346,2
-45.561462,8.069907,4
61.313427,12.966531,1
-5.055044,7.948199,4
-9.313955,9.412607,4
-5.518849,28.55368,4
-36.002487,31.729078,4
-43.60934,25.144827,4
-85.79884,-2.0265126,4
18.296324,0.8817945,1
34.773407,-44.17284,4
1.3237165,65.63654,4
29.72949,86.19819,2
-33.32283,-69.594734,3
0.7384948,73.62596,4
-1.074486,-64.01395,4
-26.487339,59.51844,4
44.40395,-41.01545,4
-55.525497,-7.3256307,4
-52.304634,14.510381,4
-5.772041,20.664112,4
60.36431,-0.16559169,1
-21.890652,-44.695477,4
-69.72269,53.083813,4
19.004185,-42.098747,4
-66.9472,-30.370317,4
46.549744,-46.198948,4
17.585785,2.3501446,1
-36.80615,-72.01331,3
-13.88642,58.910656,4
16.535427,-34.904896,4
50.005352,14.402635,1
-53.789978,-11.157482,4
-61.38535,-63.19754,3
-51.525833,56.045532,0
-57.320396,-2.5682023,4
18.313835,0.051223177,1
-62.021816,36.699234,4
18.332314,0.21853724,3
18.310299,0.023315383,1
-38.14645,83.069305,4
-15.655473,9.884146,4
26.720905,45.191868,4
-25.41834,45.045624,4
-76.519585,10.075035,4
35.715927,20.844397,1
18.207014,-0.47392315,1
61.395195,-10.648648,1
18.2945,0.88037026,1
-38.790203,-71.52656,3
-35.013275,-61.400276,0
26.217793,-45.51138,4
-72.27789,15.357449,4
-64.362686,-30.860464,4
-55.49802,-62.13572,3
-76.959885,21.353312,4
18.228525,1.1483178,1
-13.924128,-36.392128,4
4.160594,33.235985,4
-72.59823,0.6191803,4
18.094763,-0.77520436,1
35.715927,20.844397,1
-41.510292,-20.01851,2
-45.62287,-50.86266,4
5.5099454,47.949482,4
25.832434,46.37548,4
-46.38546,14.464936,4
7.065265,35.32026,4
17.965076,-49.843025,4
45.518456,-2.541375,1
-68.899864,34.335915,4
-37.91923,19.916712,4
13.0722065,-97.58086,4
18.325922,0.16195507,1
53.619633,-71.538475,4
-67.24532,-32.473106,4
-57.631313,-32.49866,4
18.102024,1.5360821,1
-9.367661,58.40492,4
-72.72119,51.17235,4
53.441345,-42.17851,4
17.577585,2.3594797,1
25.69507,88.16651,3
-49.24159,-14.838488,4
-5.711638,-64.89637,4
51.81764,12.334979,1
-51.222683,-17.16879,4
5.2167687,-55.874275,4
-1.1890007,-48.20802,4
36.01968,-45.111485,4
80.67675,-6.6181355,4
-5.6211996,42.794884,4
20.237316,31.572773,4
-24.095116,-80.002235,4
-57.0486,-32.062904,4
-14.483013,50.78803,4
4.0372562,-74.720345,4
45.547325,-46.420776,4
25.69507,88.16651,3
-23.74612,18.818863,4
18.214653,1.2139055,3
-16.262238,38.96425,4
9.414082,70.13944,4
-40.48996,-18.762379,3
17.921207,1.8946358,1
-16.69683,-15.744916,4
-84.649666,4.5124907,4
-10.112793,58.511333,4
54.825405,7.4987636,1
80.62454,-7.380391,4
-23.490051,-16.66476,4
52.315575,-48.65186,4
-19.170979,-48.397465,4
12.723138,-56.993538,4
-17.69036,-9.186523,4
40.459446,13.791439,1
71.817856,-5.079164,1
17.970312,-1.0336732,1
73.95136,14.682468,1
17.557247,2.3809285,1
42.751488,67.613464,4
14.599762,-97.951065,4
14.052009,44.31304,4
-24.12145,46.097225,4
-42.675034,-34.448456,4
-55.465546,24.419659,4
-40.197395,71.766045,4
-33.79106,-1.0959275,4
-16.284006,0.5970268,4
18.09531,1.5403224,1
-31.876278,31.306128,4
-17.97252,-40.86639,4
-68.296234,-32.086952,4
17.175657,2.7323558,1
27.03237,28.489756,4
-55.749245,-36.93786,4
-62.099174,33.94003,4
-23.481892,51.31161,4
2.006832,-74.56924,4
22.1632,-30.868376,4
-80.21743,1.3087668,4
-74.43692,30.041677,4
-32.783108,-62.46235,0
-66.76211,15.96646,4
18.820875,-76.59102,4
-19.336493,-28.821917,4
-11.815556,36.186516,4
5.4354243,29.222359,4
17.599108,-1.5717481,1
-33.495808,42.33882,4
35.715927,20.844397,1
-64.377945,-25.8055,4
-6.5727663,-59.71672,4
-9.588688,50.880627,4
-61.951614,-16.714846,4
-30.378798,-11.027376,4
-21.2314,35.18379,4
-77.01722,26.956947,4
-70.401665,20.347885,4
-43.811714,26.598433,4
-15.383281,64.3402,4
-20.334293,-23.897627,4
56.828133,-7.559118,3
74.88256,25.465326,1
-27.814812,-46.440598,4
-18.839342,-26.28107,4
-5.002791,-61.991344,4
7.1619096,32.02892,4
-63.554962,16.666327,4
25.69507,88.16651,3
-57.89533,-59.971924,3
40.465214,-42.226418,4
-67.68442,-30.7052,4
15.442069,43.409557,4
-63.667576,-27.034523,4
18.328873,0.20466252,1
-20.521406,63.25756,4
-13.528015,-68.7469,4
17.604263,-1.5659319,1
-43.630646,47.082497,4
52.513706,-6.9764905,1
-4.9095306,5.0647497,4
18.303001,-0.029381428,1
18.321928,0.65083665,1
11.525708,42.991486,4
62.2576,6.622874,1
18.28979,0.8854462,1
-17.858234,-62.57532,4
-57.727535,-5.8013544,4
-28.023535,40.63331,4
-33.267628,-2.184082,4
18.203749,-0.48256975,1
-56.289307,10.303459,4
-57.019783,-32.14885,4
-28.354393,50.210583,4
47.722702,12.698503,1
17.779991,2.103516,1
-11.756265,8.3001375,4
-78.76371,8.066946,4
17.975569,1.8002635,1
-9.996516,78.53543,4
22.641493,29.26921,4
-22.482374,-80.40399,4
-43.075825,26.905745,4
17.154377,2.7462966,1
-9.374932,49.332726,4
-66.596664,-56.217014,3
70.626564,-3.3403213,1
-75.872665,9.494901,4
4.8384085,-48.75698,4
16.66715,-44.833904,4
-80.757645,1.8541979,4
-65.89449,-26.276506,4
-7.952239,-70.37723,4
-26.980742,27.510635,4
