x_tsne,y_tsne,label
101.0102,-25.814363,4
-41.599495,-39.030716,0
-105.15792,60.278095,0
-153.25328,34.247673,0
27.240969,-47.553738,0
31.42958,-69.09171,1
-101.19313,-86.80451,0
-45.805332,35.74305,0
89.97917,21.964272,1
-10.155395,35.876892,0
-104.37578,32.92422,0
-23.84649,16.334518,1
-108.33311,-82.98611,1
7.4575963,4.3501816,1
16.301538,25.900444,4
-24.213226,12.141802,1
-22.406445,-88.776825,3
-23.203789,-43.891544,0
-13.10383,-42.78393,0
34.01153,-4.2738104,4
-60.987946,26.174322,0
-116.28913,-73.92772,4
21.776075,17.412554,1
73.38444,16.257484,4
-122.649635,44.13978,4
-129.46324,62.82508,0
53.637867,-53.174137,4
22.585667,-56.09232,1
-12.059637,-7.7525215,4
-19.734102,-46.873928,0
-59.546886,-27.856833,0
-5.913774,-79.16488,4
6.2015114,39.112503,1
-40.96363,-15.737539,4
-48.523174,2.186543,4
-35.643238,77.81269,0
-44.28166,-12.861369,0
24.560984,-44.6538,0
97.594055,19.093315,1
-117.27464,6.5967193,1
70.27789,18.520805,1
-0.61992776,-11.827435,1
84.86585,49.91442,1
-28.267855,69.39779,0
75.122505,80.897835,1
-10.161511,3.5515685,4
18.206646,-47.618465,2
-5.639308,-10.295398,1
-42.40802,34.006916,0
82.78526,-26.688498,0
12.361979,34.319492,1
5.508701,-57.79268,0
66.15597,83.39402,1
58.687477,0.0162566,1
-9.778978,-57.51213,0
-144.65341,21.319,4
-57.67122,-19.021784,0
-8.819625,-28.321321,2
38.876656,-27.332247,0
26.673994,-56.792408,1
74.31121,71.81578,1
-1.2738826,-75.65044,0
7.7340527,-24.560162,1
-16.630983,66.757774,0
-18.646006,-14.817536,4
-31.67738,-43.27611,0
-31.013985,28.847511,1
-27.122103,-7.1576114,1
-25.08907,-91.10771,3
13.339601,-50.96257,0
43.44093,-27.706842,4
46.107216,10.017699,4
-138.31929,37.285835,0
69.93796,-15.894939,2
-99.66496,-78.99503,0
8.55743,-2.9171479,1
57.986366,-36.50523,1
58.66549,73.04758,1
39.79607,20.11238,1
36.65232,-6.7913585,4
66.13641,-23.313105,1
-119.54881,32.193993,0
75.82537,76.1354,1
28.416555,-34.61759,0
-16.769573,-24.469385,2
36.41391,-32.621918,0
-18.246313,18.803196,1
4.846986,-83.58331,1
-16.615177,76.81588,0
-25.562628,-0.33639804,1
-37.550182,-38.54077,0
87.28283,44.963192,1
-41.937943,18.898548,0
-35.379974,-31.818733,0
87.08916,-32.94181,0
67.08382,4.572934,4
95.59525,-33.909824,1
78.807846,68.57453,1
-99.66496,-78.99503,4
59.187958,-44.475082,1
-29.840416,25.11132,1
37.606895,14.304096,1
100.41943,5.9527564,0
63.63642,-11.749388,0
88.28148,4.4946585,4
-119.54881,32.193993,0
-48.68564,-1.079253,4
81.69657,-21.961048,0
66.298615,73.45956,1
-19.801981,10.834673,1
70.77048,58.71417,1
26.413855,-68.90689,4
-119.54881,32.193993,0
-15.739605,-39.185986,4
55.94786,-19.628624,1
-48.74757,21.269476,0
3.4468677,-2.9689384,1
66.44288,60.14929,1
2.7572088,4.650485,4
7.2573085,22.88851,4
37.857018,-54.957767,4
-58.95512,29.256504,0
48.185074,76.14686,1
54.723774,-48.155827,4
32.69754,-30.693848,0
-63.448708,32.916046,1
4.4661207,-7.1422987,1
11.344567,-40.254536,2
-34.870735,-15.288275,0
10.336993,-8.685729,1
43.848103,13.258935,1
12.4887495,-59.140667,0
69.957535,69.92361,1
-15.327154,-46.68119,0
10.372884,-49.19444,4
-24.805304,51.462814,1
43.182228,-5.1452603,4
-34.066074,-53.50865,4
-38.21962,74.47067,1
-19.037292,81.39969,0
-29.975513,10.912185,2
-119.54881,32.193993,0
11.882209,78.64687,0
-5.995793,-67.75725,0
35.51821,-36.858715,0
