x_tsne,y_tsne,label
-24.951181,9.564893,4
-15.616691,-8.491309,4
-15.505914,-3.483001,4
-29.72714,12.052381,4
-31.9074,-7.6744366,4
11.093463,-22.800785,4
-33.547813,31.784695,4
-3.7606914,9.291003,4
72.28067,8.050409,3
-30.918732,25.269024,4
-4.2328672,7.0679803,4
-19.517696,39.882744,4
70.181465,12.48069,1
-21.177547,5.7917004,4
4.4466667,-3.2503135,4
-41.26199,-4.887845,4
-1.4850613,-31.883148,4
1.549017,-38.124725,4
-34.002323,-36.55519,4
-19.280386,-35.471626,4
-2.7477655,37.021824,4
-3.775524,3.9173806,4
9.076068,-30.268705,4
-26.008984,-14.194873,4
-32.266407,19.66525,4
-9.2339325,-14.640202,4
-0.9855246,-37.757427,4
8.8340225,-18.305845,3
53.550003,10.422207,1
-34.270954,-4.2935953,4
-26.910147,-29.337591,4
-27.503658,-1.3549428,4
-30.647858,20.754824,4
-0.58657336,36.973522,4
9.336819,-20.22159,4
64.46327,18.688179,1
-41.08343,-3.5129933,4
54.553852,7.721046,1
-24.779793,-41.85472,4
-16.604662,-20.52123,4
54.424732,7.900214,1
-34.297623,1.3418475,4
-31.162426,-39.98734,4
-13.146463,12.73666,4
-14.3373785,-12.298456,4
9.049889,22.562065,4
63.13737,19.029305,1
54.85964,7.420862,1
-6.449418,-5.2163844,4
-25.397676,-33.09132,4
-30.89242,22.802454,4
53.797478,9.88121,1
53.65203,10.079867,1
-4.2689247,7.9961357,4
1.4892881,30.656866,4
5.941382,13.724852,4
0.6651739,36.898678,4
-6.319135,30.545158,4
-0.7633838,-15.421124,4
-1.304928,22.109974,4
-13.377838,-6.915017,4
-1.0056869,-17.755552,4
-4.792497,22.253586,4
-35.2579,11.23701,4
-26.448479,23.110338,4
73.849014,-2.9081059,4
-31.25096,14.810223,4
-31.943462,-4.826102,4
-46.319065,-3.4934165,4
-22.835583,-28.403204,4
-0.016880345,22.61059,4
-3.324197,6.765097,4
5.052406,15.556598,4
-46.807602,-5.5774174,4
-33.256107,6.80365,4
-2.8744407,-26.139595,4
60.87174,10.546076,1
51.255463,1.0013314,1
52.208138,2.9052978,1
5.033747,-21.38779,3
-30.011425,7.599916,4
-5.765752,-35.557564,4
-30.679325,3.1506376,4
-37.65681,-8.476426,4
6.4750423,-6.1438146,3
-5.784396,-35.54407,4
2.4143474,-11.766103,4
3.8212721,-20.177366,3
3.4007454,25.981632,4
-1.1501906,-14.217234,4
-16.872978,3.8478994,4
-7.535094,35.81347,4
-0.183748,8.450745,4
-20.307951,-5.6394186,4
-9.6482115,25.555374,4
-13.139903,-27.901796,4
-9.030106,1.8446674,4
67.51664,7.0373316,1
-33.823635,-1.894896,4
9.04989,22.562065,4
-25.079348,-30.84872,4
-36.793713,1.8821746,4
-12.61945,14.666747,4
-14.191797,10.498822,4
-5.0270023,-8.216439,4
-42.4795,-25.189013,4
72.38001,-4.44029,1
-37.512787,-5.0842447,4
4.5874534,-26.58883,4
63.415775,18.332724,1
51.715687,1.7761935,1
-34.14009,24.966993,4
0.20839,10.765403,4
6.3232994,-21.859419,3
-35.57856,-1.204355,4
-6.7624836,29.232578,4
66.97088,3.5667257,1
63.32459,-5.0710173,1
-9.111409,2.869355,4
-31.256315,23.697344,4
-28.268328,-32.528957,4
-37.774387,22.973124,4
-28.10988,-39.647274,4
1.9709227,-31.888397,4
0.31106305,18.323465,4
-29.226307,26.892841,4
-9.620989,-7.4187937,4
-15.714966,20.170382,4
13.641939,-20.205378,4
-22.239315,-8.05818,4
63.70581,-10.818115,1
-3.585319,12.92174,4
52.394432,1.6197758,1
-4.7044344,12.247567,4
5.7302775,26.31758,4
63.466,2.977171,1
-20.127163,0.59006786,4
-0.24412985,18.102179,4
-21.047274,21.097925,4
-12.931155,13.348939,4
-14.186492,-28.058767,4
-6.5001364,10.703053,4
71.653206,-6.7817225,1
-32.69308,21.061007,4
-2.9609916,-16.056963,4
-15.200529,-18.42152,4
62.711987,5.884755,1
-1.4731222,11.670588,4
10.020999,-16.449223,4
-12.877404,-9.833581,4
51.771446,0.93428755,1
24.280699,61.670612,4
49.573853,1.7517287,1
-33.632626,-7.133083,4
50.50368,1.7491845,1
62.76854,1.5735701,1
-14.401207,-5.845054,4
2.6817205,1.6211461,4
-32.18284,19.342566,4
66.25734,-4.804374,1
66.162445,-10.008121,2
-19.603884,40.993935,4
28.211975,60.90244,4
-34.72633,0.457135,4
51.354546,-1.2060695,1
50.533283,3.9771824,1
50.366085,3.4233139,1
7.474984,-17.789715,0
-10.693466,6.1601233,4
-30.182137,-4.2122664,4
-27.087965,-35.016098,4
51.003334,0.43259108,1
-16.12937,29.55113,4
63.30583,19.350449,1
64.00975,1.4115345,4
-24.616352,9.845731,4
52.312218,0.4297853,1
-39.00448,10.775378,4
52.297745,2.236914,1
-4.496105,28.288504,3
-8.775528,-13.282031,4
50.870884,2.98421,1
0.46498245,-27.862295,4
-3.6048126,-14.294619,4
-23.092228,15.026411,4
-12.893181,3.3895302,4
57.735157,2.9436696,1
-36.502823,20.759502,4
0.19648005,-28.941282,4
-4.3774433,11.452126,4
-46.903126,-0.9937038,4
3.8837042,29.898949,4
-28.097162,-35.684494,4
52.085236,-0.19966021,1
-9.240059,34.334194,4
59.806297,-5.444292,1
51.28699,1.5670716,1
-33.08648,-30.847727,4
-27.021297,5.634619,4
50.29763,1.3600715,1
-32.308807,-6.2066703,4
-23.282375,-29.30617,4
-9.6014385,25.515951,4
5.147129,-29.170782,4
-15.490794,5.769501,4
50.591698,2.539604,1
-30.634409,23.932718,4
51.729,-0.75684965,1
-36.74849,-7.1216683,4
-29.756609,-15.701296,4
-23.958473,-33.065594,4
-42.478683,-25.19049,4
-18.778273,-7.850357,4
-1.6372695,26.038416,4
56.653934,-6.539484,1
-1.3310266,-12.00104,4
-2.8508441,-15.429475,4
-33.221092,6.9200373,4
60.9622,1.3279794,1
-19.460573,40.71281,4
51.66987,2.4799724,1
-27.839632,-2.050018,4
-32.343636,18.050194,4
-26.154182,-5.43951,4
-28.278519,-26.477617,4
51.41586,3.0960317,1
-35.854645,30.469057,4
-19.3625,17.203966,4
7.501723,-17.914791,0
-13.713228,4.072486,4
69.856926,-6.209337,1
-35.75769,24.820929,4
51.514053,4.0596824,1
-31.069906,-32.48482,4
-8.97958,-8.06801,4
-30.312723,-26.225422,4
7.38303,16.64902,4
9.094997,-6.100147,3
52.4034,1.0649803,3
-38.878246,3.2432594,4
-28.950811,22.19078,4
6.905079,-15.2911825,0
28.211975,60.90244,3
5.311238,-0.9546324,4
10.8480625,12.061257,0
1.86615,20.09688,4
4.8614907,-22.469322,3
-6.3052654,11.43161,4
-27.414404,12.632977,4
-18.364336,-26.582489,4
50.79995,1.0408199,1
50.053783,2.4183304,1
-20.111979,-30.41581,4
-0.7547252,31.62104,4
11.799426,-27.28803,4
10.450015,-28.775398,4
-35.32733,25.232216,4
50.83434,-0.566734,1
24.280699,61.670612,4
0.6160074,-24.986109,4
-24.796034,-35.932983,4
-33.15119,-24.415821,4
8.979494,-4.0754304,3
10.97823,-15.651527,2
-0.2850727,33.862217,4
51.9359,3.558427,1
-42.044647,-3.3770313,4
4.0989223,16.255852,4
-27.937963,-38.410946,4
-25.543636,12.643698,4
-29.862022,24.319233,4
-2.6358068,0.912467,4
-15.679289,-27.83137,4
8.130228,9.82496,4
-21.103422,-30.400545,4
-1.4947742,8.877034,4
-0.92874336,9.671708,4
50.117153,-0.5032189,1
57.854557,5.326546,1
4.9250965,0.18877837,4
-3.5967753,-43.836258,4
-38.58038,4.3888392,4
50.348328,0.3477603,1
-33.52587,2.8546045,4
